full_name,class,a,e,i,q,H,neo,pha,diameter,albedo,diameter_sigma,orbit_id,n,per,moid
       (2010 FE7),APO,1.95,0.5531,1.55,0.871,23.8,Y,N,0.045,0.288,0,JPL 13,0.362,994,0.0023
       (2015 YK),APO,1.095,0.1193,4.7,0.965,25.86,Y,N,0.046,0.037,0.01,JPL 15,0.8596,419,0.0215
       (2015 VU65),APO,1.972,0.5791,2.96,0.83,26.4,Y,N,0.047,0.022,0.01,JPL 13,0.356,1010,0.00245
       (2015 XE),APO,1.57,0.3685,2.39,0.991,24.7,Y,N,0.048,0.1,0.01,JPL 24,0.5011,718,0.0107
       (2015 VB65),APO,2.188,0.5638,8.61,0.954,22.93,Y,N,0.049,0.519,0.03,JPL 31,0.3046,1180,0.0405
       (2016 UD41),APO,2.821,0.6503,2.14,0.987,22.7,Y,N,0.049,0.568,0.01,JPL 16,0.208,1730,0.0225
       (2010 AE30),APO,1.268,0.4168,5.97,0.739,23.6,Y,N,0.05,0.259,0.01,JPL 21,0.6906,521,0.00726
       (2016 TZ19),ATE,0.9471,0.5814,5.27,0.396,23.15,Y,N,0.05,0.491,0.01,JPL 16,1.069,337,0.0182
       (2010 EC43),APO,2.43,0.6041,0.78,0.962,23,Y,N,0.051,0.434,0.01,JPL 12,0.2602,1380,0.00477
       (2010 MG1),APO,1.972,0.5066,6.55,0.973,23.34,Y,N,0.053,0.301,0.01,JPL 10,0.3559,1010,0.0356
       (2010 VK139),ATE,0.7799,0.2822,26.96,0.56,23.71,Y,N,0.055,0.196,0.01,JPL 22,1.431,252,0.00691
       (2010 WB),APO,1.359,0.2881,5.5,0.967,24.1,Y,N,0.057,0.126,0.02,JPL 21,0.6224,578,0.00428
       (2010 GX23),APO,1.483,0.4511,1.91,0.814,23,Y,N,0.06,0.334,0,JPL 12,0.5455,660,0.0279
       (2015 XO129),APO,2.436,0.6312,2.14,0.898,25.2,Y,N,0.06,0.04,0.01,JPL 7,0.2592,1390,0.00796
       (2016 LB),APO,1.012,0.1461,32.18,0.864,22.8,Y,N,0.06,0.526,0.02,JPL 13,0.9682,372,0.0119
       (2011 AV55),APO,2.409,0.6059,17.71,0.95,23.5,Y,N,0.063,0.176,0.02,JPL 9,0.2635,1370,0.028
       (2016 TX17),APO,1.833,0.5941,11.27,0.744,23.5,Y,N,0.063,0.178,0.02,JPL 8,0.3971,907,0.0105
       (2010 HX107),ATE,0.8013,0.3005,3.36,0.561,23.54,Y,N,0.064,0.187,0.01,JPL 17,1.374,262,0.0141
       (2015 FN120),APO,2.099,0.6184,5.02,0.801,23.5,Y,N,0.064,0.173,0.02,JPL 10,0.3241,1110,0.0317
       (2016 XA18),APO,1.946,0.8339,17.74,0.323,23.1,Y,N,0.065,0.238,0.01,JPL 8,0.3629,992,0.022
       (2015 FS33),APO,1.27,0.6283,13.32,0.472,22.2,Y,N,0.066,0.531,0.01,JPL 9,0.6883,523,0.0223
       (2015 LM21),APO,2.435,0.7716,6.36,0.556,22.1,Y,N,0.066,0.594,0.01,JPL 10,0.2594,1390,0.0865
       (2016 EE1),APO,2.246,0.6394,7.5,0.81,24.5,Y,N,0.066,0.065,0.02,JPL 8,0.2928,1230,0.0165
       (2016 RW),APO,1.613,0.3849,4.84,0.992,23.25,Y,N,0.066,0.214,0.02,JPL 16,0.4812,748,0.0152
       (2014 MF18),ATE,0.8886,0.1595,2.73,0.747,26.11,Y,N,0.069,0.015,0.02,JPL 12,1.177,306,0.00986
       (2016 CB31),APO,1.769,0.4605,1.23,0.955,24.96,Y,N,0.07,0.037,0.02,JPL 19,0.4188,860,0.0166
       (2010 GZ5),APO,1.435,0.5857,6.12,0.594,22.96,Y,N,0.071,0.281,0,JPL 23,0.5735,628,0.0483
       (2015 VF1),APO,1.878,0.5371,5.16,0.869,23.77,Y,N,0.072,0.103,0.02,JPL 10,0.3831,940,0.0378
       (2010 FD7),APO,2.581,0.69,6.14,0.8,22.1,Y,N,0.075,0.448,0,JPL 17,0.2377,1510,0.0509
       (2015 PK57),APO,2.521,0.6192,4.72,0.96,24.4,Y,N,0.075,0.041,0.02,JPL 19,0.2463,1460,0.0497
       (2015 TK238),APO,2.41,0.6071,3.68,0.947,21.9,Y,Y,0.076,0.54,0.03,JPL 22,0.2635,1370,0.0144
       (2016 AD166),APO,1.652,0.5692,5.28,0.711,23.58,Y,N,0.077,0.109,0.02,JPL 10,0.4643,775,0.021
       (2015 HX181),APO,1.79,0.56,7.91,0.788,23.9,Y,N,0.078,0.079,0.02,JPL 7,0.4116,875,0.000202
       (2010 BC),APO,1.935,0.5703,9.55,0.831,22.2,Y,N,0.08,0.433,0,JPL 19,0.3662,983,0.0157
       (2016 BJ15),APO,1.808,0.5193,2.99,0.869,23.3,Y,N,0.08,0.113,0.01,JPL 20,0.4053,888,0.0163
       (2016 RM40),APO,2.434,0.7616,0.96,0.58,24.67,Y,N,0.081,0.032,0.01,JPL 5,0.2595,1390,0.0127
518810 (2010 CF19),APO,1.193,0.27,7.18,0.871,21.85,Y,Y,0.083,0.448,0.01,JPL 46,0.7563,476,0.0325
       (2010 CD55),APO,1.024,0.2014,5.93,0.818,23.36,Y,N,0.083,0.145,0.01,JPL 20,0.9513,378,0.0124
       (2010 CK1),APO,1.146,0.2153,27.27,0.9,24,Y,N,0.084,0.063,0.01,JPL 12,0.803,448,0.0536
       (2014 VG2),APO,1.19,0.197,8.6,0.955,22.72,Y,N,0.085,0.201,0.03,JPL 28,0.7597,474,0.0152
       (2016 LD9),APO,1.804,0.611,4.19,0.702,22.4,Y,N,0.085,0.269,0.02,JPL 13,0.4066,885,0.00537
154590 (2003 MA3),APO,1.105,0.4022,1.42,0.661,21.71,Y,Y,0.086,0.53,0,JPL 41,0.8484,424,0.0131
       (2015 YC18),APO,1.368,0.3267,5.42,0.921,24.99,Y,N,0.086,0.02,0.03,JPL 6,0.6162,584,0.052
       (2010 FK),ATE,0.9401,0.0972,12.67,0.849,23.8,Y,N,0.087,0.071,0.01,JPL 13,1.081,333,0.0352
       (2010 KP10),APO,1.132,0.1662,16.2,0.944,23.1,Y,N,0.087,0.101,0.01,JPL 45,0.8188,440,0.0626
       (2010 LB64),AMO,1.353,0.2153,51.68,1.062,21.76,Y,N,0.088,0.477,0.01,JPL 18,0.6261,575,0.0559
       (2014 RH12),APO,2.181,0.5357,7.27,1.013,23.33,Y,N,0.088,0.092,0.04,JPL 19,0.306,1180,0.0455
       (2010 AG40),APO,1.754,0.6092,2.03,0.686,22.01,Y,N,0.089,0.319,0,JPL 16,0.4242,849,0.0336
       (2010 EG21),ATE,0.8441,0.2266,9.7,0.653,24.5,Y,N,0.09,0.038,0.01,JPL 16,1.271,283,0.0418
       (2015 NA14),ATE,0.9659,0.1837,6.35,0.788,22,Y,N,0.091,0.338,0.02,JPL 41,1.038,347,0.0605
       (2010 GL23),APO,1.155,0.3659,7.2,0.733,22.8,Y,N,0.092,0.159,0.01,JPL 14,0.7939,453,0.064
       (2010 FC),APO,1.33,0.2403,7.04,1.01,24,Y,N,0.093,0.051,0.01,JPL 14,0.6427,560,0.0775
       (2016 CK246),AMO,3.972,0.7295,12.64,1.074,21.75,Y,N,0.094,0.347,0,JPL 27,0.1245,2890,0.138
       (2010 FF10),APO,2.38,0.6317,5.08,0.876,21.8,Y,Y,0.095,0.407,0.01,JPL 41,0.2685,1340,0.0375
450237 (2002 XY38),ATE,0.9112,0.2176,2.12,0.713,23.18,Y,N,0.096,0.134,0,JPL 45,1.133,318,0.00245
       (2010 FA81),APO,1.195,0.152,15.48,1.014,22.42,Y,N,0.097,0.224,0.02,JPL 36,0.7542,477,0.0357
506590 (2005 XB1),APO,1.131,0.4187,8.71,0.658,21.97,Y,N,0.099,0.287,0.01,JPL 32,0.8189,440,0.0705
       (2010 LH14),APO,2.201,0.5745,4.67,0.936,22.08,Y,N,0.101,0.274,0.02,JPL 35,0.3019,1190,0.0552
       (2010 KU7),AMO,1.665,0.3811,6.75,1.031,22.24,Y,N,0.102,0.224,0.01,JPL 9,0.4587,785,0.0511
       (2010 CC19),APO,1.1,0.7513,46.17,0.274,22.46,Y,N,0.104,0.196,0.01,JPL 12,0.8542,421,0.0544
       (2010 MP1),ATE,0.8551,0.4873,22.64,0.438,21.49,Y,N,0.104,0.518,0,JPL 21,1.246,289,0.0575
       (2009 UY19),APO,1.023,0.0308,9.05,0.992,23.43,Y,N,0.105,0.063,0,JPL 27,0.9519,378,0.0134
       (2010 FG81),APO,1.66,0.3935,7.97,1.007,23.08,Y,N,0.105,0.058,0,JPL 18,0.4609,781,0.0202
       (2016 EV1),APO,2.458,0.7147,5.14,0.701,23.9,Y,N,0.106,0.043,0.02,JPL 13,0.2558,1410,0.0107
       (2010 LK34),APO,1.829,0.8073,5.32,0.352,21.91,Y,Y,0.108,0.271,0,JPL 29,0.3984,904,0.00837
       (2015 HF1),APO,1.317,0.6145,22,0.508,22.7,Y,N,0.108,0.125,0.02,JPL 12,0.652,552,0.0312
       (2015 HU171),APO,2.294,0.5739,5.58,0.978,23.7,Y,N,0.108,0.05,0.03,JPL 12,0.2836,1270,0.0346
       (2014 BX2),APO,2.215,0.761,2.25,0.529,21.89,Y,Y,0.11,0.253,0.03,JPL 14,0.299,1200,0.00402
       (2015 YX7),APO,2.456,0.6053,4.03,0.969,21.82,Y,N,0.11,0.23,0.02,JPL 20,0.2561,1410,0.0621
       (2010 AJ30),ATE,0.8113,0.3024,7.57,0.566,22.7,Y,N,0.111,0.12,0.02,JPL 24,1.349,267,0.0466
264357 (2000 AZ93),ATE,0.7469,0.36,8.59,0.478,21.17,Y,Y,0.113,0.037,0.03,JPL 48,1.527,236,0.022
       (2014 MS5),APO,1.932,0.5591,2.51,0.852,22.69,Y,N,0.113,0.116,0.03,JPL 13,0.3669,981,0.0227
       (2010 GT6),APO,1.495,0.5919,10.07,0.61,21.4,Y,N,0.116,0.3,0.01,JPL 17,0.5391,668,0.0868
       (2014 CR),APO,2.141,0.5846,4.04,0.889,22.78,Y,N,0.116,0.094,0.01,JPL 24,0.3147,1140,0.0205
666241 (2010 BK2),#N/A,0.9042,0.4479,6.05,0.499,22.04,Y,N,0.118,0.205,0,JPL 28,1.146,314,0.0326
       (2014 VP35),APO,1.466,0.3485,9.17,0.955,22.82,Y,N,0.122,0.099,0.05,JPL 16,0.5554,648,0.0259
       (2010 AN2),APO,1.679,0.4995,8.47,0.84,22.19,Y,N,0.123,0.155,0.01,JPL 18,0.453,795,0.0669
       (2016 CL136),ATE,0.7297,0.6222,21.53,0.276,21.36,Y,Y,0.123,0.32,0.06,JPL 38,1.581,228,0.0288
       (2010 VD72),ATE,0.9184,0.1812,19.19,0.752,21.54,Y,Y,0.124,0.29,0.01,JPL 24,1.12,321,0.0137
       (2010 HC),AMO,2.127,0.5224,6.87,1.016,21.3,Y,N,0.128,0.328,0.01,JPL 24,0.3177,1130,0.0909
       (2016 UH101),APO,2.097,0.5296,4.71,0.986,22.61,Y,N,0.128,0.156,0.02,JPL 19,0.3246,1110,0.0138
       (2009 FY4),APO,1.013,0.3275,20.98,0.681,21,Y,Y,0.129,0.421,0.01,JPL 37,0.9673,372,0.0443
       (2014 YS34),APO,1.553,0.3853,6.89,0.955,20.85,Y,Y,0.129,0.505,0.03,JPL 43,0.5091,707,0.00719
       (2002 CX58),APO,2.852,0.6449,2.48,1.013,22.3,Y,N,0.13,0.126,0.02,JPL 28,0.2046,1760,0.046
       (2015 QG),APO,1.57,0.3922,20.05,0.954,23.8,Y,N,0.132,0.031,0.04,JPL 14,0.5009,719,0.0276
       (2010 CJ171),APO,1.996,0.4914,7.38,1.015,21.08,Y,N,0.134,0.358,0,JPL 31,0.3495,1030,0.113
       (2010 GB6),ATE,0.8821,0.2449,35.31,0.666,22.1,Y,N,0.134,0.142,0.02,JPL 23,1.19,303,0.096
       (2015 VE1),APO,2.246,0.5671,1.9,0.972,21,Y,Y,0.139,0.368,0.07,JPL 43,0.2928,1230,0.0301
       (2010 HZ104),APO,2.249,0.5672,20.24,0.973,22.5,Y,N,0.14,0.09,0.03,JPL 10,0.2922,1230,0.028
       (2014 BR8),APO,1.22,0.2392,17.14,0.928,21.7,Y,N,0.141,0.187,0.04,JPL 37,0.7313,492,0.0533
469445 (2002 LT24),ATE,0.7201,0.4958,0.77,0.363,22.13,Y,N,0.143,0.136,0.02,JPL 66,1.613,223,0.0113
       (2010 PK9),ATE,0.6821,0.6758,12.59,0.221,21.81,Y,Y,0.143,0.138,0.01,JPL 30,1.75,206,0.0162
       (2015 GY),APO,1.068,0.2001,11.81,0.854,21.7,Y,Y,0.143,0.18,0.05,JPL 41,0.8929,403,0.023
       (2016 UZ25),APO,2.498,0.7928,3.81,0.518,21.74,Y,Y,0.143,0.197,0.05,JPL 23,0.2496,1440,0.0226
       (2016 WN48),APO,2.74,0.6408,4.84,0.984,24.78,Y,N,0.144,0.01,0.04,JPL 7,0.2173,1660,0.0577
       (2015 BW310),APO,2.622,0.6391,10.04,0.946,22,Y,N,0.146,0.132,0.01,JPL 14,0.2321,1550,0.0271
       (2010 OC101),APO,1.222,0.2275,13.6,0.944,20.7,Y,N,0.148,0.384,0,JPL 52,0.73,493,0.0921
       (2000 RE52),APO,1.154,0.2479,18.46,0.868,22.33,Y,N,0.149,0.095,0.01,JPL 17,0.7945,453,0.0325
       (2010 DO),APO,1.612,0.7458,11.94,0.41,21.66,Y,Y,0.149,0.176,0,JPL 18,0.4814,748,0.0177
465826 (2010 GA24),APO,2.097,0.5468,7.68,0.95,21.09,Y,Y,0.15,0.285,0.01,JPL 43,0.3247,1110,0.0494
       (1998 WB2),APO,1.973,0.5864,2.37,0.816,21.85,Y,Y,0.15,0.151,0.01,JPL 58,0.3557,1010,0.0148
       (2010 GA7),ATE,0.9126,0.3892,30,0.557,21.27,Y,N,0.151,0.256,0.02,JPL 30,1.131,318,0.164
363599 (2004 FG11),APO,1.587,0.7236,3.14,0.439,21.05,Y,Y,0.152,0.306,0,JPL 110,0.4932,730,0.0204
       (2002 BF25),APO,1.075,0.2216,6.31,0.837,22.62,Y,N,0.152,0.1,0,JPL 56,0.8847,407,0.0181
       (2010 VT11),APO,1.754,0.611,2.48,0.682,21.7,Y,Y,0.152,0.189,0.04,JPL 41,0.4242,849,0.0119
       (2010 LL68),APO,2.071,0.5247,10.49,0.984,22.88,Y,N,0.153,0.063,0.02,JPL 15,0.3307,1090,0.139
       (2015 TE),APO,2.71,0.7513,7.62,0.674,22.5,Y,N,0.156,0.073,0.03,JPL 12,0.221,1630,0.00471
       (2015 VZ145),APO,2.128,0.5414,2.74,0.976,23.63,Y,N,0.157,0.024,0.05,JPL 27,0.3175,1130,0.0146
411165 (2010 DF1),APO,1.598,0.5032,20.08,0.794,22.09,Y,N,0.159,0.121,0.02,JPL 33,0.4877,738,0.0433
618348 (2016 PN),#N/A,0.8586,0.3322,21.6,0.573,20.22,Y,N,0.16,0.495,0.07,JPL 51,1.239,291,0.0711
       (2002 CT46),AMO,2.37,0.5246,15.67,1.127,20.8,Y,N,0.16,0.32,,JPL 32,0.2701,1330,0.139
       (2016 KD),APO,1.139,0.3052,21.21,0.792,22.35,Y,N,0.16,0.083,0.04,JPL 20,0.8105,444,0.0288
164207 (2004 GU9),APO,1.001,0.1359,13.65,0.865,21.18,Y,Y,0.163,0.219,0.01,JPL 98,0.9837,366,0.00017
475016 (2005 UO),APO,1.351,0.5824,7.71,0.564,22.06,Y,N,0.164,0.094,0.02,JPL 29,0.6278,573,0.00222
       (2009 WA),APO,1.136,0.1448,29.84,0.971,21.19,Y,N,0.164,0.217,0.03,JPL 24,0.8144,442,0.0698
       (2014 KO76),APO,2.436,0.6135,9.47,0.941,23.9,Y,N,0.166,0.018,0.04,JPL 9,0.2593,1390,0.0259
454094 (2013 BZ45),APO,1.015,0.1448,11.85,0.868,21.87,Y,Y,0.167,0.11,0.05,JPL 49,0.9638,374,0.0257
       (2010 DX1),APO,2.594,0.7049,20.25,0.765,21.61,Y,N,0.167,0.146,0,JPL 18,0.236,1530,0.0742
       (2015 JF11),ATE,0.9833,0.108,5.1,0.877,21.4,Y,N,0.17,0.203,0.05,JPL 7,1.011,356,0.0565
       (2014 SV141),AMO,2.132,0.5223,7.8,1.018,21.6,Y,N,0.172,0.137,0.04,JPL 11,0.3166,1140,0.0504
       (2010 OE22),APO,2.644,0.6319,14.26,0.973,21.23,Y,N,0.174,0.176,0.01,JPL 18,0.2293,1570,0.182
       (2014 SU260),APO,1.539,0.3758,26.77,0.961,21.8,Y,N,0.174,0.112,0.05,JPL 15,0.516,698,0.051
       (2016 JU33),APO,1.828,0.5335,3.88,0.853,20.94,Y,Y,0.174,0.304,0.09,JPL 43,0.3989,903,0.0089
496962 (2002 GP186),APO,1.285,0.3312,8.11,0.859,20.31,Y,N,0.175,0.439,0.04,JPL 36,0.6768,532,0.0812
       (2002 AO11),ATE,0.9171,0.1621,13.06,0.768,23.05,Y,N,0.175,0.048,0.05,JPL 12,1.122,321,0.00354
422686 (2000 AC6),ATE,0.8537,0.2864,4.7,0.609,21.63,Y,Y,0.176,0.143,0.01,JPL 70,1.25,288,0.0462
       (2010 CF55),APO,1.9,0.7612,5.15,0.454,21.68,Y,N,0.176,0.119,0.02,JPL 11,0.3763,957,0.0536
       (2010 PU66),APO,1.486,0.3904,18.09,0.906,22.19,Y,N,0.18,0.079,0.01,JPL 18,0.5442,661,0.149
       (2010 KA8),APO,1.62,0.4338,10.12,0.918,21.4,Y,N,0.183,0.147,0.02,JPL 19,0.4778,753,0.097
       (2016 FO12),APO,2.527,0.619,4.21,0.963,22.35,Y,N,0.183,0.048,0.02,JPL 13,0.2453,1470,0.00261
       (2015 CX12),APO,2.003,0.6099,5.74,0.781,20,Y,Y,0.184,0.533,0.05,JPL 26,0.3478,1040,0.0301
       (2013 WT45),APO,1.63,0.4669,9.34,0.869,20.36,Y,Y,0.185,0.391,0.04,JPL 43,0.4737,760,0.00838
       (2015 YB1),APO,1.539,0.4106,28.62,0.907,21.4,Y,N,0.186,0.128,0.04,JPL 21,0.5163,697,0.0914
       (2016 FC13),APO,1.258,0.2147,40.95,0.988,22.07,Y,N,0.186,0.081,0.06,JPL 16,0.6984,515,0.0327
303450 (2005 BY2),APO,1.269,0.3306,7.29,0.85,20.55,Y,Y,0.187,0.317,0.05,JPL 55,0.6893,522,0.0404
       (2016 TJ18),APO,2.408,0.583,17.72,1.004,20.56,Y,Y,0.188,0.314,0.07,JPL 17,0.2638,1360,0.0193
       (2010 LK61),APO,1.667,0.5781,22.73,0.703,21.79,Y,N,0.191,0.084,0.02,JPL 15,0.458,786,0.0969
       (2010 JG),APO,1.19,0.3196,23.31,0.81,20.95,Y,Y,0.192,0.209,0.03,JPL 46,0.7591,474,0.0292
       (2010 LJ61),APO,1.046,0.4595,9.8,0.565,20.95,Y,N,0.192,0.208,0.03,JPL 17,0.9219,390,0.0516
       (2016 JC6),ATE,0.8066,0.2829,6.78,0.578,21.37,Y,Y,0.192,0.145,0.05,JPL 58,1.36,265,0.0197
422638 (1994 CB),APO,1.149,0.1451,18.26,0.983,21.1,Y,N,0.193,0.195,0.01,JPL 30,0.7998,450,0.0562
613995 (2008 NP3),APO,1.005,0.334,1.43,0.669,22.83,Y,N,0.193,0.023,0,JPL 23,0.9783,368,0.0153
       (2010 LJ68),APO,1.769,0.453,17.11,0.967,22.7,Y,N,0.193,0.039,0.04,JPL 9,0.419,859,0.0321
511777 (2015 EZ),APO,1.364,0.2838,13.21,0.977,20.14,Y,N,0.194,0.358,0.06,JPL 139,0.6187,582,0.0866
       (2016 VK6),APO,1.341,0.2486,7.74,1.007,22.45,Y,N,0.194,0.036,0.08,JPL 8,0.6349,567,0.0486
       (2010 OL101),AMO,2.61,0.5983,26.08,1.048,20.4,Y,N,0.195,0.321,0.02,JPL 22,0.2337,1540,0.294
       (2011 BY24),APO,1.891,0.4917,13.96,0.961,22.88,Y,N,0.195,0.042,0.04,JPL 11,0.379,950,0.0196
       (2016 BC14),ATE,0.8707,0.1826,8.37,0.712,20.98,Y,Y,0.196,0.201,0.06,JPL 54,1.213,297,0.0133
       (2016 PN38),APO,2.462,0.6175,3.58,0.942,21.21,Y,Y,0.196,0.153,0.07,JPL 25,0.2552,1410,0.0247
468468 (2004 KH17),ATE,0.7121,0.4982,22.13,0.357,21.98,Y,Y,0.197,0.072,0.01,JPL 58,1.64,220,0.00231
       (2010 CB55),APO,1.133,0.1481,25.92,0.965,22.69,Y,N,0.198,0.037,0,JPL 28,0.817,441,0.0444
       (2010 OD101),AMO,1.619,0.3582,15.39,1.039,20.72,Y,N,0.198,0.217,0.03,JPL 51,0.4787,752,0.19
       (2014 WL6),APO,2.261,0.6358,13.5,0.823,20.06,Y,N,0.198,0.527,0.04,JPL 31,0.2899,1240,0.0502
       (2016 BX14),APO,2.058,0.52,4.44,0.988,20.88,Y,N,0.199,0.195,0.06,JPL 91,0.3339,1080,0.0578
510055 (2010 FH81),APO,1.226,0.2105,16.8,0.968,21.51,Y,Y,0.2,0.094,0.01,JPL 35,0.7264,496,0.034
       (2014 AG16),APO,1.66,0.4112,4.29,0.977,22.77,Y,N,0.2,0.037,0.03,JPL 23,0.4608,781,0.0493
       (2015 XD1),APO,2.278,0.6556,11.59,0.784,20.14,Y,N,0.201,0.399,0.08,JPL 22,0.2867,1260,0.132
423321 (2005 ED318),AMO,1.85,0.4501,2.39,1.018,20.9,Y,Y,0.202,0.212,0.01,JPL 72,0.3916,919,0.00938
483508 (2003 CR1),APO,1.453,0.4628,12.72,0.78,20.02,Y,Y,0.202,0.433,0.03,JPL 68,0.563,639,0.0276
       (2016 FE12),APO,1.276,0.6974,29.83,0.386,20.6,Y,N,0.202,0.248,0.04,JPL 20,0.6841,526,0.103
       (2010 GS7),APO,2.694,0.6591,9.12,0.918,21.51,Y,Y,0.203,0.107,0.01,JPL 37,0.2229,1610,0.0466
 41429 (2000 GE2),APO,1.593,0.5553,2.17,0.708,20.66,Y,Y,0.204,0.267,0.03,JPL 89,0.4903,734,0.0109
333578 (2006 KM103),APO,1.573,0.3766,11.68,0.981,20.2,Y,Y,0.204,0.352,0.05,JPL 94,0.4994,721,0.0128
       (2016 LF2),AMO,2.798,0.6328,32.87,1.027,22.42,Y,N,0.204,0.046,0.05,JPL 9,0.2106,1710,0.0206
       (2016 FY3),APO,2.626,0.6887,22.44,0.818,21.2,Y,Y,0.205,0.125,0.05,JPL 39,0.2316,1550,0.00664
       (2014 PS59),APO,1.964,0.5459,14.13,0.892,20.5,Y,Y,0.206,0.263,0.05,JPL 21,0.358,1010,0.016
       (1996 GQ),APO,1.99,0.4945,0.88,1.006,23.19,Y,N,0.208,0.024,0,JPL 34,0.3511,1030,0.0241
       (2010 JK33),APO,2.232,0.6101,4.04,0.87,20.9,Y,Y,0.208,0.148,0.01,JPL 39,0.2956,1220,0.0249
       (2016 BR80),APO,1.703,0.4525,12.07,0.932,21.3,Y,Y,0.208,0.123,0.06,JPL 15,0.4436,812,0.0427
488803 (2005 GB120),ATE,0.7911,0.3948,9.15,0.479,20.48,Y,N,0.209,0.283,0.01,JPL 61,1.401,257,0.0729
       (2010 NB2),APO,2.085,0.761,28.69,0.498,20.1,Y,N,0.21,0.303,0.01,JPL 14,0.3273,1100,0.104
365424 (2010 KX7),ATE,0.9893,0.1709,21.49,0.82,21.91,Y,Y,0.212,0.075,0.02,JPL 29,1.002,359,0.0343
       (2010 KD149),ATE,0.8889,0.2118,14.23,0.701,21.48,Y,Y,0.213,0.118,0.01,JPL 2,1.176,306,0.0213
       (2015 UK52),APO,1.555,0.3688,20.95,0.982,20.14,Y,Y,0.213,0.353,0.06,JPL 81,0.5081,708,0.0455
